331,000653,福建九州集团股份有限公司,福建九州
332,000655,山东金岭矿业股份有限公司,金岭矿业
333,000656,金科地产集团股份有限公司,金科股份
334,000657,中钨高新材料股份有限公司,中钨高新
335,000658,厦门海洋实业(集团)股份有限公司,厦门海洋
336,000659,珠海中富实业股份有限公司,珠海中富
337,000660,广州南华西实业股份有限公司,南华西
338,000661,长春高新技术产业(集团)股份有限公司,长春高新
339,000662,天夏智慧城市科技股份有限公司,天夏智慧
340,000663,福建省永安林业(集团)股份有限公司,永安林业
341,000665,湖北省广播电视信息网络股份有限公司,湖北广电
342,000666,经纬纺织机械股份有限公司,经纬纺机
344,000667,美好置业集团股份有限公司,美好置业
345,000668,荣丰控股集团股份有限公司,荣丰控股
346,000669,中油金鸿能源投资股份有限公司,金鸿能源
347,000670,盈方微电子股份有限公司,盈方微
348,000671,阳光城集团股份有限公司,阳光城
349,000672,甘肃上峰水泥股份有限公司,上峰水泥
350,000673,当代东方投资股份有限公司,当代东方
351,000675,四川银山化工(集团)股份有限公司,四川银山
352,000676,智度科技股份有限公司,智度股份
353,000677,恒天海龙股份有限公司,恒天海龙
354,000678,襄阳汽车轴承股份有限公司,襄阳轴承
355,000679,大连友谊(集团)股份有限公司,大连友谊
356,000680,山推工程机械股份有限公司,山推股份
357,000681,视觉(中国)文化发展股份有限公司,视觉中国
358,000682,东方电子股份有限公司,东方电子
359,000683,内蒙古远兴能源股份有限公司,远兴能源
360,000685,中山公用事业集团股份有限公司,中山公用
361,000686,东北证券股份有限公司,东北证券
362,000687,华讯方舟股份有限公司,华讯方舟
363,000688,建新矿业股份有限责任公司,建新矿业
364,000689,汕头宏业(集团)股份有限公司,汕头宏业
365,000690,广东宝丽华新能源股份有限公司,宝新能源
366,000691,海南亚太实业发展股份有限公司,亚太实业
367,000692,沈阳惠天热电股份有限公司,惠天热电
368,000693,成都华泽钴镍材料股份有限公司,华泽钴镍
369,000695,天津滨海能源发展股份有限公司,滨海能源
372,001696,重庆宗申动力机械股份有限公司,宗申动力
373,000697,陕西炼石有色资源股份有限公司,炼石有色
374,000698,沈阳化工股份有限公司,沈阳化工
375,000699,佳木斯金地造纸股份有限公司,佳纸股份
376,000700,江南模塑科技股份有限公司,模塑科技
377,000701,厦门信达股份有限公司,厦门信达
378,000702,湖南正虹科技发展股份有限公司,正虹科技
379,000703,恒逸石化股份有限公司,恒逸石化
380,000705,浙江震元股份有限公司,浙江震元
381,000707,湖北双环科技股份有限公司,双环科技
382,000708,大冶特殊钢股份有限公司,大冶特钢
383,000709,河钢股份有限公司,河钢股份
384,000710,成都市贝瑞和康基因技术股份有限公司,贝瑞基因
385,000711,京蓝科技股份有限公司,京蓝科技
386,000712,广东锦龙发展股份有限公司,锦龙股份
387,000713,合肥丰乐种业股份有限公司,丰乐种业
388,000715,中兴-沈阳商业大厦(集团)股份有限公司,中兴商业
389,000716,南方黑芝麻集团股份有限公司,黑芝麻
390,000717,广东韶钢松山股份有限公司,韶钢松山
391,000718,苏宁环球股份有限公司,苏宁环球
392,000719,中原大地传媒股份有限公司,大地传媒
393,000720,山东新能泰山发电股份有限公司,新能泰山
394,000721,西安饮食股份有限公司,西安饮食
395,000722,湖南发展集团股份有限公司,湖南发展
396,000723,山西美锦能源股份有限公司,美锦能源
397,000725,京东方科技集团股份有限公司,京东方
399,000726,鲁泰纺织股份有限公司,鲁泰纺织
401,000727,南京华东电子信息科技股份有限公司,华东科技
